center	program	filename	size	date_received
wugsc	TCGA	TCGA-24-0980-01A-01D-0515-09_whole.bam	138548177674	2010-05-13
wugsc	TCGA	TCGA-06-0124-01A-01D-0375-09_whole.bam	149909062383	2010-05-13
wugsc	TCGA	TCGA-AB-3005-11A-01D-0739-09_whole.bam	136851140787	2010-05-07
wugsc	TCGA	TCGA-AB-2996-11A-01D-0739-09_whole.bam	87481600446	2010-05-07
wugsc	TCGA	TCGA-AB-3009-11A-01D-0739-09_whole.bam	105903667935	2010-05-06
wugsc	TCGA	TCGA-AB-3009-03A-01D-0739-09_whole.bam	109140465888	2010-05-06
wugsc	TCGA	TCGA-AB-3005-03A-01D-0739-09_whole.bam	104880665660	2010-05-06
wugsc	TCGA	TCGA-AB-3002-11A-01D-0739-09_whole.bam	102565057407	2010-05-06
wugsc	TCGA	TCGA-AB-3002-03A-01D-0739-09_whole.bam	92695626935	2010-05-06
wugsc	TCGA	TCGA-AB-3000-11A-01D-0739-09_whole.bam	88608129347	2010-05-06
wugsc	TCGA	TCGA-AB-3000-03A-01D-0739-09_whole.bam	78685617301	2010-05-06
wugsc	TCGA	TCGA-AB-2996-03A-01D-0739-09_whole.bam	117887154885	2010-05-05
wugsc	TCGA	TCGA-AB-2995-11A-01D-0739-09_whole.bam	100000037732	2010-05-05
wugsc	TCGA	TCGA-AB-2995-03A-01D-0739-09_whole.bam	101982063372	2010-05-05
wugsc	TCGA	TCGA-AB-2989-11A-01D-0739-09_whole.bam	83641770427	2010-05-05
wugsc	TCGA	TCGA-AB-2989-03A-01D-0739-09_whole.bam	98802274470	2010-05-05
wugsc	TCGA	TCGA-AB-2987-11A-01D-0739-09_whole.bam	103915889565	2010-05-05
wugsc	TCGA	TCGA-AB-2987-03A-01D-0739-09_whole.bam	83891439454	2010-05-04
wugsc	TCGA	TCGA-AB-2986-11A-01D-0739-09_whole.bam	101697979819	2010-05-03
wugsc	TCGA	TCGA-AB-2986-03A-01D-0739-09_whole.bam	105701320431	2010-05-03
wugsc	TCGA	TCGA-AB-2985-11A-01D-0739-09_whole.bam	86556378155	2010-05-03
wugsc	TCGA	TCGA-AB-2985-03A-01D-0739-09_whole.bam	86581850384	2010-05-03
wugsc	TCGA	TCGA-AB-2983-11A-01D-0739-09_whole.bam	101012170975	2010-05-03
wugsc	TCGA	TCGA-AB-2983-03A-01D-0739-09_whole.bam	83896165062	2010-05-03
wugsc	TCGA	TCGA-AB-2981-11A-01D-0739-09_whole.bam	151272357593	2010-05-03
wugsc	TCGA	TCGA-AB-2981-03A-01D-0739-09_whole.bam	79537451651	2010-05-02
wugsc	TCGA	TCGA-AB-2978-11A-01D-0739-09_whole.bam	106119544729	2010-05-02
wugsc	TCGA	TCGA-AB-2978-03A-01D-0739-09_whole.bam	122853508056	2010-05-02
wugsc	TCGA	TCGA-AB-2977-11A-01D-0739-09_whole.bam	93641661325	2010-05-02
wugsc	TCGA	TCGA-AB-2977-03A-01D-0739-09_whole.bam	86403992070	2010-05-02
wugsc	TCGA	TCGA-AB-2975-11A-01D-0739-09_whole.bam	88923345943	2010-05-02
wugsc	TCGA	TCGA-AB-2975-03A-01D-0739-09_whole.bam	83723451732	2010-05-02
wugsc	TCGA	TCGA-AB-2974-11A-01D-0739-09_whole.bam	90635856672	2010-05-02
wugsc	TCGA	TCGA-AB-2974-03A-01D-0739-09_whole.bam	105284567901	2010-05-02
wugsc	TCGA	TCGA-AB-2973-11A-01D-0739-09_whole.bam	121693721663	2010-05-02
bi	TCGA	TCGA-AB-2856-11A-01W-0727-08.bam	30959007542	2010-05-02
bi	TCGA	TCGA-AB-2856-03A-01W-0726-08.bam	23964740236	2010-05-02
bi	TCGA	TCGA-AB-2852-11A-01W-0727-08.bam	27999199951	2010-05-02
bi	TCGA	TCGA-AB-2852-03A-01W-0726-08.bam	24338663988	2010-05-02
bi	TCGA	TCGA-AB-2842-11A-01W-0727-08.bam	63059806008	2010-05-02
bi	TCGA	TCGA-AB-2842-03A-01W-0726-08.bam	37134204038	2010-05-02
bi	TCGA	TCGA-AB-2838-11A-01W-0727-08.bam	35432236741	2010-05-02
bi	TCGA	TCGA-AB-2838-03A-01W-0726-08.bam	62930893568	2010-05-02
bi	TCGA	TCGA-AB-2831-11A-01W-0727-08.bam	27453110743	2010-05-02
bi	TCGA	TCGA-AB-2831-03A-01W-0726-08.bam	26778342169	2010-05-02
bi	TCGA	TCGA-AB-2821-11B-01W-0728-08.bam	26183707097	2010-05-02
bi	TCGA	TCGA-AB-2821-03B-01W-0728-08.bam	22554527676	2010-05-02
bi	TCGA	TCGA-AB-2820-11B-01W-0728-08.bam	24371386815	2010-05-02
bi	TCGA	TCGA-AB-2820-03B-01W-0728-08.bam	23950849064	2010-05-02
bi	TCGA	TCGA-AB-2817-11B-01W-0728-08.bam	23963699983	2010-05-02
bi	TCGA	TCGA-AB-2817-03B-01W-0728-08.bam	24689622235	2010-05-02
bi	TCGA	TCGA-AB-2815-11B-01W-0728-08.bam	25101743326	2010-05-02
bi	TCGA	TCGA-AB-2815-03B-01W-0728-08.bam	25585155766	2010-05-02
bi	TCGA	TCGA-AB-2814-11B-01W-0728-08.bam	25101878385	2010-05-02
bi	TCGA	TCGA-AB-2814-03B-01W-0728-08.bam	23023099699	2010-05-02
bi	TCGA	TCGA-AB-2813-11B-01W-0728-08.bam	25900595949	2010-05-02
bi	TCGA	TCGA-AB-2813-03B-01W-0728-08.bam	25442752026	2010-05-02
bi	TCGA	TCGA-AB-2812-11B-01W-0728-08.bam	25708422013	2010-05-02
bi	TCGA	TCGA-AB-2812-03B-01W-0728-08.bam	26426972132	2010-05-02
bi	TCGA	TCGA-AB-2810-11B-01W-0728-08.bam	23780675091	2010-05-02
bi	TCGA	TCGA-AB-2810-03B-01W-0728-08.bam	25052470969	2010-05-02
bi	TCGA	TCGA-AB-2808-11B-01W-0728-08.bam	24680645116	2010-05-02
bi	TCGA	TCGA-AB-2808-03B-01W-0728-08.bam	22374036797	2010-05-02
bi	TCGA	TCGA-AB-2807-11B-01W-0728-08.bam	22348560828	2010-05-02
bi	TCGA	TCGA-AB-2807-03B-01W-0728-08.bam	24441637565	2010-05-02
bi	TCGA	TCGA-14-1794-10A-01W-0643-08.bam	28790315531	2010-05-02
bi	TCGA	TCGA-14-0813-10A-01W-0424-08.bam	41687619770	2010-05-02
bi	TCGA	TCGA-12-0827-10A-01W-0424-08.bam	47128458479	2010-05-02
bi	TCGA	TCGA-12-0670-01B-01W-0424-08.bam	19682137758	2010-05-02
bi	TCGA	TCGA-06-1084-01A-01W-0611-08.bam	20531657268	2010-05-02
wugsc	TCGA	TCGA-AB-2973-03A-01D-0739-09_whole.bam	106495169404	2010-05-01
wugsc	TCGA	TCGA-AB-2972-11A-01D-0739-09_whole.bam	114433305185	2010-05-01
wugsc	TCGA	TCGA-AB-2972-03A-01D-0739-09_whole.bam	146042840741	2010-05-01
wugsc	TCGA	TCGA-AB-2971-11A-01D-0739-09_whole.bam	101705982797	2010-05-01
wugsc	TCGA	TCGA-AB-2971-03A-01D-0739-09_whole.bam	111964862386	2010-05-01
wugsc	TCGA	TCGA-AB-2970-11A-01D-0739-09_whole.bam	96082396827	2010-05-01
wugsc	TCGA	TCGA-AB-2970-03A-01D-0739-09_whole.bam	96593809030	2010-05-01
wugsc	TCGA	TCGA-AB-2969-11A-01D-0739-09_whole.bam	123911886721	2010-05-01
wugsc	TCGA	TCGA-AB-2969-03A-01D-0739-09_whole.bam	88597147929	2010-05-01
wugsc	TCGA	TCGA-AB-2968-11A-01D-0739-09_whole.bam	135840589117	2010-05-01
wugsc	TCGA	TCGA-AB-2968-03A-01D-0739-09_whole.bam	132517226141	2010-04-30
wugsc	TCGA	TCGA-AB-2967-11A-01D-0739-09_whole.bam	80747209622	2010-04-30
wugsc	TCGA	TCGA-AB-2967-03A-01D-0739-09_whole.bam	93550166668	2010-04-30
wugsc	TCGA	TCGA-AB-2966-11A-01D-0739-09_whole.bam	109544796480	2010-04-30
wugsc	TCGA	TCGA-AB-2966-03A-01D-0739-09_whole.bam	99259110066	2010-04-30
wugsc	TCGA	TCGA-AB-2965-11A-01D-0739-09_whole.bam	101718278185	2010-04-30
wugsc	TCGA	TCGA-AB-2965-03A-01D-0739-09_whole.bam	130013487316	2010-04-29
wugsc	TCGA	TCGA-AB-2907-11A-01D-0739-09_whole.bam	88599282832	2010-04-29
wugsc	TCGA	TCGA-AB-2907-03A-01D-0739-09_whole.bam	124129787128	2010-04-29
bi	TCGA	TCGA-28-1757-10A-01W-0643-08.bam	18160807563	2010-04-20
bi	TCGA	TCGA-28-1757-01A-02W-0643-08.bam	18969060914	2010-04-20
bi	TCGA	TCGA-28-1755-01A-01W-0643-08.bam	20906191167	2010-04-20
bi	TCGA	TCGA-28-1752-01A-01W-0643-08.bam	29842435722	2010-04-20
bi	TCGA	TCGA-28-1751-10A-01W-0643-08.bam	19784602327	2010-04-20
bi	TCGA	TCGA-28-1750-10A-01W-0643-08.bam	17564930444	2010-04-20
bi	TCGA	TCGA-28-1750-01A-01W-0643-08.bam	17741363644	2010-04-20
bi	TCGA	TCGA-28-1749-10A-01W-0643-08.bam	23215735509	2010-04-20
